evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20200706_2254,-5.69,110.55,535.0,C1.MT10.,-33.273,-70.537,141.024,1652.046,1681.244,1690.394,275.0,0.347,-0.015,-0.009,-0.008,-0.006,-0.007,2.9,-4.8,0.733,-0.671,-4.3,0.132,0.132,6.2,0.159,0.132,6.2,0.159,0.132,5.7,0.161,0.132,5.7,0.16,0.132,0,-1.0,178.566
20200706_2254,-5.69,110.55,535.0,BK.BKS.00,37.876,-122.236,122.406,1537.795,1551.742,1555.889,276.0,5.731,0.58,0.506,0.504,0.505,0.504,0.0,0.6,0.835,0.881,0.4,0.726,0.726,0.5,0.773,0.726,0.3,0.753,0.726,0.5,0.764,0.726,0.4,0.759,0.726,1,1.0,48.117
20200706_2254,-5.69,110.55,535.0,CI.DEC.,34.254,-118.334,126.631,1564.709,1581.605,1586.666,277.0,3.373,0.443,0.466,0.467,0.462,0.461,0.0,1.3,0.76,0.739,0.9,0.54,0.54,1.1,0.581,0.54,0.9,0.569,0.54,1.0,0.575,0.54,1.1,0.57,0.54,1,1.0,50.864
20200706_2254,-5.69,110.55,535.0,YB.MOJP.00,34.757,-115.817,128.364,1575.573,1593.775,1599.245,278.0,5.509,0.428,0.516,0.505,0.509,0.513,-1.7,-1.0,0.792,0.793,-1.8,0.434,0.434,-1.4,0.441,0.434,-1.7,0.456,0.434,-1.6,0.457,0.434,-1.6,0.451,0.434,0,-1.0,49.28
20200706_2254,-5.69,110.55,535.0,CC.SWNB.,43.673,-121.355,120.831,1527.618,1540.549,1544.386,279.0,2.587,0.352,0.406,0.39,0.376,0.383,1.0,-4.1,0.77,-0.404,1.7,0.332,0.332,2.0,0.496,0.332,1.5,0.47,0.332,2.0,0.5,0.332,2.0,0.493,0.332,0,-1.0,41.523
20200706_2254,-5.69,110.55,535.0,AZ.SIO5.,32.841,-117.25,127.978,1573.162,1591.069,1596.446,280.0,3.473,0.44,0.421,0.426,0.426,0.425,0.5,0.6,0.556,0.729,-0.1,0.665,0.665,0.3,0.645,0.665,-0.1,0.648,0.665,0.1,0.647,0.665,0.1,0.647,0.665,1,1.0,52.113
20200706_2254,-5.69,110.55,535.0,ZC.ABDR.,18.812,-70.627,166.828,1791.811,1850.946,1871.24,281.0,0.348,0.023,0.016,0.017,0.019,0.018,-11.0,-5.2,0.219,0.568,-8.0,0.362,0.362,-8.1,0.361,0.362,-8.1,0.365,0.362,-8.2,0.377,0.362,-8.3,0.375,0.362,0,-1.0,4.721
20200706_2254,-5.69,110.55,535.0,AZ.LVA2.,33.352,-116.562,128.331,1575.367,1593.543,1599.005,282.0,4.165,0.404,0.443,0.433,0.432,0.432,0.0,0.0,0.66,0.712,0.3,0.347,0.347,0.5,0.355,0.347,0.2,0.365,0.347,0.3,0.366,0.347,0.4,0.359,0.347,0,-1.0,51.238
20200706_2254,-5.69,110.55,535.0,YB.MOJR.00,34.76,-115.774,128.395,1575.768,1593.994,1599.471,283.0,5.386,0.487,0.583,0.577,0.579,0.583,-1.1,-0.9,0.827,0.85,-1.2,0.458,0.458,-0.7,0.456,0.458,-1.1,0.463,0.458,-1.0,0.468,0.458,-0.9,0.461,0.458,0,-1.0,49.258
20200706_2254,-5.69,110.55,535.0,YB.MOJM.00,34.752,-115.879,128.319,1575.291,1593.459,1598.917,284.0,4.636,0.456,0.5,0.479,0.493,0.499,-0.9,-0.9,0.876,0.899,-1.4,0.5,0.5,-1.0,0.516,0.5,-1.4,0.523,0.5,-1.3,0.527,0.5,-1.2,0.521,0.5,1,1.0,49.312
20200706_2254,-5.69,110.55,535.0,MX.SRIG.,27.32,-112.241,133.969,1610.085,1632.821,1639.773,285.0,4.235,0.531,0.524,0.493,0.506,0.516,-1.3,-0.3,0.76,0.773,-1.4,0.745,0.745,-1.2,0.733,0.745,-1.7,0.743,0.745,-1.5,0.737,0.745,-1.3,0.737,0.745,1,1.0,56.92
20200706_2254,-5.69,110.55,535.0,CI.BLA2.,34.069,-116.39,128.194,1574.515,1592.587,1598.016,286.0,3.8,0.426,0.387,0.387,0.39,0.392,-0.3,-0.3,0.864,0.895,-0.9,0.382,0.382,-0.5,0.414,0.382,-0.8,0.413,0.382,-0.7,0.417,0.382,-0.6,0.411,0.382,0,-1.0,50.323
20200706_2254,-5.69,110.55,535.0,CI.BFS.,34.239,-117.659,127.157,1568.017,1585.304,1590.486,287.0,3.046,0.493,0.496,0.498,0.499,0.498,-2.0,0.2,0.821,0.596,0.3,0.384,0.384,0.5,0.419,0.384,0.2,0.427,0.384,0.3,0.43,0.384,0.4,0.421,0.384,0,-1.0,50.626
20200706_2254,-5.69,110.55,535.0,PY.BPH03.,33.61,-116.455,128.317,1575.28,1593.446,1598.904,288.0,5.168,0.462,0.504,0.492,0.492,0.495,-0.9,-1.0,0.868,0.851,-1.5,0.358,0.358,-0.9,0.396,0.358,-1.3,0.396,0.358,-1.2,0.4,0.358,-1.1,0.392,0.358,0,-1.0,50.891
20200706_2254,-5.69,110.55,535.0,1P.TDPA.,-51.132,-73.118,123.09,1542.195,1556.598,1560.885,289.0,2.222,0.141,0.19,0.187,0.174,0.178,0.8,-5.2,0.473,-0.333,-2.1,0.438,0.438,-9.8,0.371,0.438,-9.8,0.368,0.438,-2.2,0.373,0.438,-2.3,0.37,0.438,0,-1.0,177.259
20200706_2254,-5.69,110.55,535.0,YB.MOJN.00,34.755,-115.86,128.332,1575.373,1593.551,1599.012,290.0,4.894,0.407,0.486,0.464,0.477,0.482,-1.4,-1.4,0.897,0.906,-2.1,0.504,0.504,-1.6,0.523,0.504,-2.0,0.532,0.504,-1.8,0.534,0.504,-1.7,0.527,0.504,1,1.0,49.3
20200706_2254,-5.69,110.55,535.0,CI.BBS.,33.921,-116.981,127.796,1572.023,1589.792,1595.125,291.0,3.526,0.475,0.44,0.419,0.434,0.431,-0.6,-0.5,0.872,0.889,-1.1,0.765,0.765,-0.7,0.788,0.765,-1.1,0.784,0.765,-0.9,0.784,0.765,-0.9,0.785,0.765,1,1.0,50.734
20200706_2254,-5.69,110.55,535.0,CI.FDR.,35.643,-118.934,125.671,1558.646,1574.842,1579.685,292.0,2.204,0.3,0.407,0.423,0.422,0.42,-0.1,0.6,0.927,0.918,1.3,0.491,0.491,1.7,0.476,0.491,1.4,0.474,0.491,1.6,0.475,0.491,1.6,0.47,0.491,0,-1.0,49.484
