station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,ccf1,ccf2,ccf3,ccf4,ccf5
SI.KOSI.,46.463,11.378,155.518,1732.457,1777.351,1792.179,233.000,0.473,0.519,0.572,0.581,0.578
II.SUR.10,-32.380,20.812,120.403,1524.128,1536.799,1540.557,234.000,0.197,0.110,0.120,0.149,0.142
II.ASCN.10,-7.933,-14.360,145.355,1676.289,1709.871,1720.548,235.000,-0.004,-0.001,-0.004,-0.007,-0.003
IV.FRES.,41.974,14.669,158.062,1746.004,1793.956,1809.935,236.000,0.338,0.438,0.472,0.476,0.469
RO.LEOM.,46.473,28.247,147.900,1690.665,1726.946,1738.585,237.000,0.699,0.737,0.746,0.754,0.750
KO.KVT.,41.081,36.046,145.298,1675.965,1709.487,1720.144,238.000,0.806,0.805,0.797,0.807,0.809
IU.KONO.10,59.649,9.598,143.492,1665.635,1697.298,1707.304,239.000,0.796,0.798,0.829,0.834,0.828
XB.PM07.,35.228,-4.986,167.787,1795.874,1856.306,1877.120,240.000,0.431,0.512,0.538,0.554,0.538
XB.PM14.,34.552,-5.127,168.366,1798.750,1859.961,1881.088,241.000,0.588,0.594,0.590,0.589,0.598
FN.OUL.,65.086,25.893,135.419,1618.131,1642.136,1649.520,242.000,0.730,0.761,0.796,0.796,0.784
OE.FETA.,47.021,10.729,155.201,1730.755,1775.274,1789.961,243.000,0.548,0.619,0.668,0.692,0.681
MN.TRI.,45.709,13.764,155.379,1731.712,1776.442,1791.208,244.000,0.668,0.719,0.732,0.737,0.736
IV.SOLUN.,38.092,13.533,161.574,1764.356,1816.682,1834.321,245.000,0.137,0.163,0.216,0.232,0.202
XB.PS44.,36.317,-5.989,166.467,1789.281,1847.954,1868.065,246.000,-0.024,0.002,0.003,0.005,0.003
TH.PLN.,50.485,12.157,151.654,1711.505,1751.925,1765.078,247.000,0.658,0.673,0.677,0.669,0.675
CH.FUSIO.,46.455,8.663,156.260,1736.430,1782.206,1797.366,248.000,0.521,0.533,0.585,0.616,0.589
XB.PS07.,36.671,-4.799,166.485,1789.370,1848.067,1868.187,249.000,0.593,0.609,0.645,0.666,0.645
RO.DRGR.,46.792,22.711,150.634,1705.889,1745.165,1757.895,250.000,0.542,0.504,0.508,0.500,0.504
ZP.KMPZ.02,-13.457,25.834,134.964,1615.386,1638.992,1646.240,251.000,0.201,0.191,0.183,0.162,0.173
XB.PS47.,36.870,-4.079,166.467,1789.276,1847.949,1868.058,252.000,0.319,0.285,0.304,0.325,0.312
NR.NE018.,52.968,7.097,150.308,1704.087,1743.001,1755.597,253.000,0.652,0.675,0.680,0.672,0.675
OE.DAVA.,47.287,9.880,155.184,1730.662,1775.161,1789.841,254.000,0.613,0.722,0.755,0.761,0.758
PL.BEL.,51.837,20.792,147.712,1689.613,1725.692,1737.259,255.000,0.486,0.508,0.586,0.587,0.578
RO.BZS.,45.619,21.640,151.981,1713.295,1754.086,1767.375,256.000,0.596,0.665,0.728,0.732,0.711
OE.ARSA.,47.250,15.523,153.428,1721.183,1763.632,1777.540,257.000,0.526,0.545,0.576,0.584,0.570
IV.GALF.,37.711,14.566,161.274,1762.802,1814.746,1832.241,258.000,0.493,0.494,0.517,0.509,0.506
2H.SAHE.,12.040,40.977,139.373,1641.658,1669.287,1677.899,259.000,0.709,0.739,0.735,0.744,0.740
XB.PM05.,35.213,-5.337,167.691,1795.395,1855.698,1876.460,260.000,0.391,0.365,0.394,0.401,0.386
II.ESK.10,55.317,-3.205,148.379,1693.349,1730.147,1741.973,261.000,0.709,0.709,0.711,0.714,0.716
IV.MSSA.,44.316,9.517,158.016,1745.758,1793.653,1809.611,262.000,0.461,0.521,0.550,0.578,0.567
5H.ASSE.,13.063,42.654,138.236,1634.937,1661.499,1669.747,263.000,0.779,0.745,0.726,0.734,0.733
AF.KTWE.,-12.814,28.209,134.132,1610.358,1633.244,1640.248,264.000,-0.010,-0.029,-0.027,-0.025,-0.027
KO.LADK.,38.200,32.365,148.898,1696.249,1733.611,1745.641,265.000,0.438,0.446,0.492,0.486,0.481
VI.ISKR.,64.560,-18.386,137.504,1630.596,1656.483,1664.502,266.000,0.544,0.552,0.566,0.572,0.563
LX.MORF.,37.304,-8.653,164.609,1779.901,1836.134,1855.281,267.000,0.518,0.580,0.592,0.599,0.598
KO.LOD.,39.888,32.763,148.049,1691.505,1727.947,1739.644,268.000,0.613,0.642,0.700,0.689,0.673
GE.SUMG.,72.574,-38.462,126.837,1565.297,1582.357,1587.469,269.000,0.722,0.723,0.724,0.722,0.722
HE.JOF.,62.919,31.309,135.615,1619.304,1643.482,1650.924,270.000,0.720,0.721,0.767,0.767,0.751
IV.ORI.,40.051,16.450,158.591,1748.791,1797.389,1813.613,271.000,0.447,0.420,0.450,0.442,0.445
CZ.NKC.,50.233,12.448,151.807,1712.342,1752.935,1766.152,272.000,0.822,0.821,0.832,0.829,0.823
RO.MDVR.,44.782,21.713,152.517,1716.227,1757.628,1771.145,273.000,0.358,0.480,0.564,0.581,0.543
GR.ASSE.,52.130,10.673,150.482,1705.046,1744.152,1756.820,274.000,0.800,0.777,0.757,0.735,0.751
XB.PS35.,38.714,-4.882,164.519,1779.443,1835.558,1854.659,275.000,0.604,0.621,0.630,0.625,0.630
GU.ENR.,44.227,7.420,158.652,1749.115,1797.789,1814.041,276.000,0.544,0.599,0.636,0.661,0.644
NR.NE002.,52.308,6.114,151.082,1708.360,1748.137,1761.052,277.000,,,,,
NL.GUR1.,51.169,5.785,152.240,1714.710,1755.794,1769.193,278.000,0.556,0.543,0.544,0.536,0.535
IV.OFFI.,42.935,13.686,157.727,1744.233,1791.777,1807.602,279.000,0.420,0.505,0.547,0.569,0.547
RO.PLOR4.,45.851,26.650,149.160,1697.714,1735.362,1747.496,280.000,0.395,0.483,0.534,0.535,0.526
IV.HAVL.,36.960,15.122,161.455,1763.739,1815.913,1833.495,281.000,0.564,0.566,0.590,0.592,0.578
RO.CJR.,46.713,23.598,150.243,1703.726,1742.567,1755.137,282.000,0.530,0.496,0.503,0.502,0.500
IV.NOV.,38.029,15.136,160.729,1759.978,1811.234,1828.467,283.000,0.397,0.383,0.411,0.410,0.405
GE.DSB.,53.245,-6.376,150.152,1703.223,1741.964,1754.497,284.000,0.604,0.575,0.583,0.574,0.576
GU.SC2M.,44.404,9.534,157.930,1745.307,1793.098,1809.016,285.000,0.524,0.590,0.638,0.649,0.644
KO.SENK.,40.561,42.350,140.835,1650.233,1679.262,1688.354,286.000,0.653,0.644,0.630,0.641,0.644
GB.DRUM.,56.913,-2.487,146.821,1684.595,1719.723,1730.949,287.000,0.719,0.711,0.712,0.703,0.708
RN.HMES.,51.658,7.726,151.484,1710.570,1750.799,1763.880,288.000,0.762,0.797,0.819,0.827,0.823
IV.HCRL.,37.283,15.033,161.294,1762.907,1814.877,1832.381,289.000,0.602,0.614,0.639,0.639,0.631
IV.ATMI.,43.334,12.268,157.961,1745.468,1793.296,1809.229,290.000,,,,,
KO.ESPY.,40.917,38.727,143.414,1665.183,1696.767,1706.744,291.000,0.169,0.150,0.144,0.148,0.150
KO.MDNY.,40.371,28.885,150.594,1705.667,1744.898,1757.611,292.000,0.524,0.518,0.528,0.530,0.528
IV.SIRI.,40.182,15.868,158.812,1749.954,1798.824,1815.150,293.000,0.637,0.649,0.662,0.658,0.661
RO.CVD1.,44.321,28.062,149.207,1697.975,1735.674,1747.827,294.000,0.478,0.541,0.581,0.578,0.570
XB.PM19.,34.143,-5.131,168.739,1800.596,1862.310,1883.641,295.000,0.492,0.439,0.419,0.428,0.428
MC.TRNT.,16.764,-62.163,121.772,1532.999,1546.541,1550.565,296.000,0.073,0.146,-0.020,-0.026,0.146
CH.BERNI.,46.414,10.023,155.952,1734.781,1780.189,1795.211,297.000,0.378,0.406,0.456,0.480,0.458
CH.BALST.,47.336,7.695,155.640,1733.110,1778.148,1793.030,298.000,0.690,0.737,0.773,0.784,0.777
GU.MAIM.,43.914,10.491,158.079,1746.093,1794.066,1810.052,299.000,0.602,0.613,0.649,0.661,0.650
NL.WTSB.01,51.966,6.799,151.325,1709.696,1749.746,1762.761,300.000,0.213,0.183,0.181,0.187,0.179
GE.EIL.,29.670,34.951,148.285,1692.827,1729.524,1741.313,301.000,0.557,0.582,0.714,0.682,0.652
OE.CONA.,47.928,15.862,152.736,1717.421,1759.074,1772.684,302.000,0.588,0.684,0.726,0.738,0.721
KO.ISK.,41.062,29.059,150.173,1703.338,1742.101,1754.643,303.000,0.565,0.638,0.726,0.719,0.691
LX.MESJ.,37.840,-8.220,164.315,1778.406,1834.256,1853.254,304.000,0.625,0.696,0.728,0.745,0.725
XB.PS10.,36.803,-4.904,166.333,1788.606,1847.102,1867.141,305.000,0.608,0.607,0.647,0.673,0.646
5H.FAME.,13.568,41.520,139.448,1642.096,1669.796,1678.431,306.000,0.731,0.774,0.773,0.779,0.776
DK.BSD.,55.114,14.915,146.754,1684.218,1719.275,1730.476,307.000,0.761,0.766,0.788,0.791,0.786
IV.MPNC.,38.146,15.353,160.524,1758.910,1809.908,1827.043,308.000,0.288,0.294,0.334,0.334,0.320
IV.ATTE.,43.198,12.354,158.044,1745.909,1793.839,1809.810,309.000,0.498,0.542,0.563,0.576,0.571
FR.TRBF.00,44.105,3.959,159.407,1753.081,1802.686,1819.291,310.000,0.128,0.035,0.048,0.060,0.053
XB.PM32.,31.568,-4.191,171.405,1813.665,1879.027,1901.848,311.000,0.533,0.616,0.627,0.625,0.622
XB.PM22B.,33.308,-5.102,169.504,1804.370,1867.124,1888.876,312.000,0.706,0.626,0.629,0.627,0.632
G.CLF.00,48.026,2.260,155.683,1733.343,1778.432,1793.334,313.000,0.707,0.702,0.730,0.745,0.737
GB.EDI.,55.923,-3.188,147.776,1689.969,1726.116,1737.708,314.000,0.618,0.638,0.650,0.662,0.657
IV.RESU.,37.647,14.057,161.607,1764.524,1816.891,1834.546,315.000,0.364,0.393,0.366,0.356,0.371
IV.ALJA.,37.749,13.754,161.702,1765.019,1817.507,1835.210,316.000,0.105,0.095,0.107,0.106,0.104
GE.APE.,37.073,25.523,154.358,1726.215,1769.746,1784.061,317.000,0.593,0.561,0.548,0.539,0.549
IV.PSB1.,41.223,14.811,158.575,1748.711,1797.291,1813.507,318.000,0.264,0.340,0.406,0.421,0.392
ZP.KISZ.02,-12.112,25.495,136.258,1623.163,1647.914,1655.551,319.000,0.019,0.019,0.019,0.018,0.019
AF.CVNA.,-31.482,19.762,121.567,1531.677,1545.086,1549.070,320.000,-0.182,-0.191,-0.195,-0.210,-0.208
IV.PIPA.,39.485,16.816,158.777,1749.775,1798.603,1814.913,321.000,0.561,0.590,0.594,0.592,0.597
IV.FVI.,46.597,12.780,154.955,1729.434,1773.664,1788.243,322.000,0.527,0.535,0.539,0.537,0.538
IV.CERT.,41.949,12.982,158.833,1750.067,1798.963,1815.299,323.000,0.562,0.590,0.628,0.646,0.635
IV.SSY.,37.158,15.074,161.353,1763.213,1815.258,1832.790,324.000,0.583,0.610,0.631,0.634,0.623
TH.HKWD.,50.830,12.268,151.311,1709.620,1749.653,1762.663,325.000,0.055,0.044,0.047,0.049,0.045
IV.ZCCA.,44.351,10.976,157.532,1743.197,1790.504,1806.240,326.000,0.371,0.415,0.449,0.454,0.450
GR.BRG.,50.873,13.944,150.816,1706.890,1746.368,1759.172,327.000,0.703,0.735,0.742,0.737,0.737
MN.VLC.,44.159,10.386,157.893,1745.111,1792.857,1808.758,328.000,0.366,0.439,0.471,0.503,0.494
IV.JOPP.,38.607,15.886,159.904,1755.682,1805.905,1822.745,329.000,0.363,0.340,0.330,0.322,0.338
GE.IBBN.,52.306,7.759,150.853,1707.093,1746.612,1759.432,330.000,0.692,0.744,0.749,0.741,0.748
XB.PM08.,35.145,-4.708,167.946,1796.667,1857.312,1878.212,331.000,-0.013,-0.011,-0.011,-0.010,-0.011
GR.BSEG.,53.936,10.316,148.850,1695.985,1733.294,1745.306,332.000,0.646,0.639,0.640,0.642,0.641
GB.HTL.,50.994,-4.485,152.573,1716.532,1757.998,1771.538,333.000,0.601,0.434,0.433,0.420,0.400
GR.TNS.,50.224,8.449,152.735,1717.415,1759.066,1772.675,334.000,0.677,0.741,0.742,0.742,0.744
RO.BUR31.,47.644,25.200,148.811,1695.766,1733.033,1745.029,335.000,0.735,0.712,0.700,0.701,0.702
IV.LATE.,42.614,11.804,158.753,1749.645,1798.442,1814.741,336.000,0.579,0.597,0.623,0.632,0.623
XB.PS51.,36.973,-4.887,166.176,1787.818,1846.106,1866.063,337.000,0.575,0.569,0.580,0.590,0.585
KO.KOZT.,37.479,35.826,146.466,1682.588,1717.339,1728.430,338.000,0.725,0.724,0.715,0.723,0.726
GB.SWN1.,51.513,-1.800,152.235,1714.686,1755.765,1769.162,339.000,,,,,
II.OBN.00,55.115,36.567,138.650,1637.388,1664.336,1672.715,340.000,0.736,0.698,0.731,0.728,0.718
GR.A055.,52.405,9.823,150.396,1704.570,1743.580,1756.213,341.000,0.420,0.413,0.404,0.400,0.405
X7.PY4A.00,47.561,-2.907,156.112,1735.641,1781.241,1796.335,342.000,0.605,0.513,0.515,0.517,0.513
