evtid,evla,evlo,evdp,station,stla,stlo,gcarc,s2ks,s3ks,s4ks,tridx,snr,ccf1,ccf2,ccf3,ccf4,ccf5,t32_cc,t32_pp,ccf_cc,ccf_pp,t32_fw1,ccf_fw1,ccf_sg1,t32_fw2,ccf_fw2,ccf_sg2,t32_fw3,ccf_fw3,ccf_sg3,t32_fw4,ccf_fw4,ccf_sg4,t32_fw5,ccf_fw5,ccf_sg5,auto_selected,group,az
20110101_0957,-27.02,-63.21,586.0,GX.GUL.00,25.291,110.366,173.981,1817.687,1886.856,1911.253,1156.0,1.671,0.046,0.137,0.141,0.154,0.133,-7.1,-6.0,0.489,0.404,-2.2,0.602,0.602,-2.1,0.472,0.602,-1.9,0.485,0.602,-1.8,0.484,0.602,-2.0,0.481,0.602,0,-1.0,106.646
20110101_0957,-27.02,-63.21,586.0,HN.JGS.00,29.39,111.89,175.075,1822.897,1893.622,1918.661,1157.0,1.874,0.351,0.363,0.357,0.356,0.358,-3.5,-3.7,0.725,0.427,-0.7,0.457,0.457,0.8,0.274,0.457,1.3,0.316,0.457,1.3,0.317,0.457,1.1,0.286,0.457,0,-1.0,57.917
20110101_0957,-27.02,-63.21,586.0,CQ.WAS.00,28.875,106.917,171.086,1803.716,1868.837,1891.574,1158.0,2.472,0.378,0.387,0.371,0.368,0.388,5.1,4.2,0.725,-0.125,7.6,0.638,0.638,9.5,0.565,0.638,10.1,0.566,0.638,9.9,0.563,0.638,9.7,0.55,0.638,1,4.0,75.242
20110101_0957,-27.02,-63.21,586.0,1G.NOP03.,40.961,110.149,165.024,1773.631,1830.599,1850.048,1159.0,5.966,0.308,0.074,0.088,0.11,0.09,0.3,3.7,0.676,-0.715,-1.5,0.474,0.474,10.5,0.465,0.474,10.6,0.442,0.474,10.9,0.418,0.474,10.6,0.439,0.474,0,-1.0,19.359
20110101_0957,-27.02,-63.21,586.0,HI.CHM.00,19.597,110.003,170.312,1799.939,1863.996,1886.295,1160.0,2.029,0.251,0.233,0.242,0.225,0.222,-1.3,-1.3,0.634,0.691,-0.1,0.671,0.671,0.7,0.684,0.671,0.7,0.66,0.671,0.8,0.631,0.671,0.9,0.666,0.671,0,-1.0,139.963
20110101_0957,-27.02,-63.21,586.0,BU.ZJT.00,40.831,114.902,166.102,1779.068,1837.453,1857.463,1161.0,4.103,0.137,0.129,0.132,0.144,0.138,0.7,0.8,0.681,0.794,-1.9,0.605,0.605,-2.1,0.675,0.605,-2.0,0.701,0.605,-1.7,0.734,0.605,-1.9,0.724,0.605,0,-1.0,5.815
20110101_0957,-27.02,-63.21,586.0,BU.LQS.00,40.102,116.082,166.905,1783.095,1842.545,1862.98,1162.0,3.289,0.184,0.216,0.213,0.203,0.21,2.0,5.4,0.805,-0.423,10.7,0.53,0.53,-1.6,0.523,0.53,-1.4,0.549,0.53,-1.3,0.579,0.53,-1.3,0.569,0.53,0,-1.0,2.329
20110101_0957,-27.02,-63.21,586.0,IC.MDJ.00,44.618,129.593,159.625,1745.875,1795.941,1812.733,1163.0,2.03,0.157,0.17,0.145,0.121,0.133,0.3,-3.1,0.781,-0.767,-8.1,0.415,0.415,-7.9,0.434,0.415,-7.8,0.453,0.415,-7.8,0.467,0.415,-7.8,0.461,0.415,0,-1.0,-26.639
20110101_0957,-27.02,-63.21,586.0,JS.NJ2.00,32.052,118.854,174.658,1820.914,1891.044,1915.837,1164.0,5.816,-0.177,-0.163,-0.161,-0.162,-0.167,-0.7,-1.1,0.402,0.271,-7.1,0.473,0.473,-5.7,0.505,0.473,-5.6,0.508,0.473,-5.6,0.513,0.473,-5.6,0.513,0.473,0,-1.0,-17.807
20110101_0957,-27.02,-63.21,586.0,JL.MJT.00,41.948,127.594,162.651,1761.541,1815.435,1833.689,1165.0,1.374,0.397,0.104,0.087,0.088,0.09,-7.2,-3.4,0.577,-0.723,-0.1,0.646,0.646,-10.3,0.441,0.646,-10.2,0.449,0.646,-10.0,0.454,0.646,-10.2,0.451,0.646,0,-1.0,-27.471
20110101_0957,-27.02,-63.21,586.0,AU.WB2.,-19.943,134.351,130.049,1577.14,1596.802,1602.742,1166.0,6.95,0.657,0.647,0.645,0.661,0.656,0.5,0.7,0.954,0.956,0.5,0.695,0.695,0.7,0.712,0.695,0.8,0.712,0.695,0.5,0.719,0.695,0.6,0.719,0.695,1,6.0,-158.365
